id,name,season,tags
1,ブリの照り焼き,1,和食/がっつり
2,肉じゃが,通年,和食/ほっこり
3,お雑煮,1,和食/お正月
4,筍ご飯と若竹煮,3/4/5,和食/あっさり
5,春キャベツの回鍋肉,3/4/5,中華/がっつり
6,春キャベツのロールキャベツ,3/4/5,洋食/和食
7,菜の花の辛し和え,3.4,和食/あっさり
9,サワラの西京焼き,3/4,和食
10,アスパラの肉巻き,4/5,和食/がっつり
11,筍ごはんと若竹煮,3/4/5,和食/あっさり
12,春キャベツの回鍋肉,3/4/5,中華/がっつり
13,真鯛のアクアパッツァ,4/5,洋食/おしゃれ/魚
14,新玉ねぎの丸ごとスープ,5/6,洋食/あっさり/甘い
15,釜揚げしらす丼,4/5,和食/簡単/旬
16,桜エビとキャベツのパスタ,3/4,洋食/おしゃれ/旬
17,ホタルイカの酢味噌和え,3/4,和食/おつまみ
18,なすの揚げ浸し,6/7/8,和食/あっさり/冷たい
19,ゴーヤチャンプルー,7/8,沖縄料理/がっつり/スタミナ
20,完熟トマトの冷製パスタ,7/8,洋食/おしゃれ/さっぱり
21,ピーマンの肉詰め,6/7/8,和食/がっつり/お弁当
22,麻婆茄子,8/9,中華/がっつり/ピリ辛
23,ズッキーニのチーズ焼き,6/7,洋食/簡単/副菜
24,秋鮭のムニエル,9/10,洋食/おしゃれ/魚
25,サンマの塩焼き,9/10,和食/渋い/旬
26,３種のきのこ炊き込みご飯,10/11,和食/あっさり/香り
27,さつまいもと豚肉の甘酢炒め,10/11,和食/がっつり/甘い
28,栗ごはん,10,和食/特別/旬
29,かぼちゃのほうとう,11/12,和食/温まる/郷土料理
30,戻りカツオのたたき,9/10,和食/おつまみ/魚
31,熱々おでん,12/1/2,和食/温まる/みんなで
32,白菜と豚バラのミルフィーユ鍋,12/1/2,和食/簡単
33,カキフライ,1/2,洋食/がっつり/サクサク
34,ほうれん草のグラタン,12/1,洋食
35,ブリ大根,1/2,和食/定番/味が染みてる
36,ゆず入り茶碗蒸し,12/1,和食/上品/温まる
37,大根ステーキ,1/2,和食/簡単/ヘルシー
38,サワラの西京焼き,3/4,和食/上品
39,アスパラの肉巻き,4/5,和食/がっつり/お弁当
40,筍ごはんと若竹煮,3/4/5,和食/あっさり/旬
41,春キャベツの回鍋肉,3/4/5,中華/がっつり
42,菜の花の辛子和え,3/4,和食/あっさり/副菜
43,真鯛のアクアパッツァ,4/5,洋食/おしゃれ/魚
44,新玉ねぎの丸ごとスープ,5/6,洋食/あっさり/甘い
45,釜揚げしらす丼,4/5,和食/簡単/旬
46,桜エビとキャベツのパスタ,3/4,洋食/おしゃれ/旬
47,ホタルイカの酢味噌和え,3/4,和食/おつまみ
48,なすの揚げ浸し,6/7/8,和食/あっさり/冷たい
49,ゴーヤチャンプルー,7/8,沖縄料理/がっつり/スタミナ
50,完熟トマトの冷製パスタ,7/8,洋食/おしゃれ/さっぱり
51,ピーマンの肉詰め,6/7/8,和食/がっつり/お弁当
52,麻婆茄子,8/9,中華/がっつり/ピリ辛
53,ズッキーニのチーズ焼き,6/7,洋食/簡単/副菜
54,秋鮭のムニエル,9/10,洋食/おしゃれ/魚
55,サンマの塩焼き,9/10,和食/渋い/旬
56,３種のきのこ炊き込みご飯,10/11,和食/あっさり/香り
57,さつまいもと豚肉の甘酢炒め,10/11,和食/がっつり/甘い
58,栗ごはん,10,和食/特別/旬
59,かぼちゃのほうとう,11/12,和食/温まる/郷土料理
60,戻りカツオのたたき,9/10,和食/おつまみ/魚
61,熱々おでん,12/1/2,和食/温まる/みんなで
62,白菜と豚バラの重ね鍋,12/1/2,和食/簡単/温まる
63,カキフライ,1/2,洋食/がっつり/サクサク
64,ほうれん草のグラタン,12/1,洋食/温まる/子供が好き
65,ブリ大根,1/2,和食/定番/味が染みてる
66,ゆず香る茶碗蒸し,12/1,和食/上品/温まる
67,大根ステーキ,1/2,和食/簡単/ヘルシー
68,サバ缶とキャベツのレンジ蒸し,1/2/3/4/5/6/7/8/9/10/11/12,和食/簡単/ヘルシー
69,しらすと大葉の混ぜごはん,4/5,和食/簡単/さっぱり
70,ツナと塩昆布のパスタ,1/2/3/4/5/6/7/8/9/10/11/12,洋食/簡単/スピード
71,サーモンとアボカドのポキ丼,1/2/3/4/5/6/7/8/9/10/11/12,ハワイアン/おしゃれ/簡単
72,アサリの冷凍うどんボンゴレ,3/4/5,洋食/簡単/時短
73,ちくわの磯辺揚げ,1/2/3/4/5/6/7/8/9/10/11/12,和食/おつまみ/簡単
74,エビとブロッコリーの解凍炒め,1/2/3/4/5/6/7/8/9/10/11/12,中華/簡単/彩り
75,冷凍イカのバターポン酢炒め,1/2/3/4/5/6/7/8/9/10/11/12,和食/簡単/おつまみ
76,明太子パスタ,1/2/3,洋食/簡単/定番
77,カニカマのコールスローサラダ,1/2/3/4/5/6/7/8/9/10/11/12,洋食/簡単/副菜
